review_id,reviewer,stars,date,text
ChZDSUhNMG9nS0VJQ0FnSUNmdWNMdWV3EAE,Sami Khan,5 stars,2025-01-01,The food at the hotel's restaurant was delicious and the breakfast buffet had a great spread.The hotel's location was perfect
ChdDSUhNMG9nS0VJQ0FnSUMzMDR1NjV3RRAB,Christina Freeman,3 stars,a year ago,"Service: Take out
Food: 5
Service: 3
Atmosphere: 3"
ChdDSUhNMG9nS0VJQ0FnSUMzMXRLaXZ3RRAB,Sheila Medrano,5 stars,a year ago,"What a great place to visit the Pho was amazing. The chicken and waffles. Delicious. Service Take out Meal type Lunch Price per person $50–100 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Phat Si-Io

Service: Take out
Meal type: Lunch
Price per person: $50–100
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Phat Si-Io"
ChZDSUhNMG9nS0VJQ0FnSUNYM3RYbmRnEAE,Jeovanne Ramos,5 stars,a year ago,"This is not a dinner!
Just take out ! Service Take out Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Food: 5
Service: 5
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnSURuN01MTEpBEAE,Sergio Rincon,5 stars,a year ago,
ChZDSUhNMG9nS0VJQ0FnSUNudFBMWEF3EAE,Bijan Ardalan,5 stars,a year ago,"The restaurants they have here are great. They only have pickup to go since these are basically ghost kitchens. Check out their website to see all the restaurants and put together an order. You'll get a text when your food is ready, usually within 15 minutes of your order being placed. I'm especially fond of Figeroa Philly cheesesteak. The sandwiches and onion rings are great! Service Take out Meal type Dinner Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Meal type: Dinner
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSUNuOE1Tb3R3RRAB,Brenda Alegria,5 stars,a year ago,"Food: 5
Service: 5
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnSURId0xIRUR3EAE,sammy love,5 stars,a year ago,"Service: Take out
Meal type: Dinner
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5
Parking space: Somewhat difficult to find parking
Parking options: Free street parking
Parking: Little parking in the lot, but can easily find street parking."
ChZDSUhNMG9nS0VJQ0FnSUNIN2RyQ0RREAE,Sophie D Velasco,5 stars,a year ago,"A delicious fusion of flavors. I loved the chilaquiles poblanos. I'll be checking back soon to try another delicious dish. Service Take out Meal type Breakfast Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Meal type: Breakfast
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSUNIMWZteXZBRRAB,Elizabeth Katt,5 stars,a year ago,"Super fast, waited less than 10
Minutes for my order. Fried chicken was on point. The honey sandwich was fire , I licked the wrapper. Highly recommended. Late night life saver. Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnSUNINHRhSFFBEAE,WenD Love,4 stars,a year ago,"Service was great! We will definitely eat here again. Service Take out Food: 4 Service: 5 Atmosphere: 4

Service: Take out
Food: 4
Service: 5
Atmosphere: 4"
ChdDSUhNMG9nS0VJQ0FnSUQ3cTczQXJBRRAB,Elijah Pinkham,4 stars,a year ago,"The chicken was super crispy and juicy and the waffles were delicious! Try a drink too, I love the watermelon. Service Take out Meal type Dinner Price per person $10–20 Food: 4 Service: 5 Atmosphere: 3

Service: Take out
Meal type: Dinner
Price per person: $10–20
Food: 4
Service: 5
Atmosphere: 3"
ChdDSUhNMG9nS0VJQ0FnSUQ3NlptVWdBRRAB,Kris Morris,1 star,a year ago,"Food: 1
Service: 1
Atmosphere: 1"
ChZDSUhNMG9nS0VJQ0FnSUQ3a1B6NE9REAE,Gilbert Romero,5 stars,a year ago,"Quick quality food glad they are open late. Service Take out Meal type Dinner Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Meal type: Dinner
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5"
