aspect,sentiment,phrase,tfidf_sum,freq
environment,neg,busy_shop,1.0,1
environment,neg,consistent_loudness,1.0,1
environment,neg,busy_shift,1.0,1
environment,neg,small_size,1.0,1
environment,neg,look_busy,1.0,1
environment,pos,usc_village,7.0,7
environment,pos,popular_spot,2.0,2
environment,pos,hot_spot,1.0,1
environment,pos,hong_kong,1.0,1
environment,pos,small_space,1.0,1
price,neg,premium_ceremonial_grade,1.0,1
price,neg,not_ethical,1.0,1
price,neg,tell_transaction,1.0,1
price,neg,double_charge,1.0,1
price,neg,not_receive_money,1.0,1
price,pos,big_portion,1.0,1
price,pos,worth_food,1.0,1
price,pos,acceptable_train,1.0,1
price,pos,expensive_food,1.0,1
price,pos,horrible_pricing,1.0,1
service,neg,extremely_rude,2.0,2
service,neg,explicitly_ask_people,1.0,1
service,neg,not_complain,1.0,1
service,neg,sloppy_food,1.0,1
service,neg,rude_guy,1.0,1
service,pos,definitely_recommend,2.0,2
service,pos,pretty_good,2.0,2
service,pos,quite_good,2.0,2
service,pos,try_dulce,1.0,1
service,pos,come_fast,1.0,1
taste,neg,high_quality,1.0,1
taste,neg,sweet_chili,1.0,1
taste,neg,disappointing_sign,1.0,1
taste,neg,weird_key,1.0,1
taste,neg,sound_weird,1.0,1
taste,pos,cafe_dulce,6.0,6
taste,pos,good_matcha,6.0,6
taste,pos,good_coffee,4.0,4
taste,pos,good_food,3.0,3
taste,pos,green_tea,3.0,3
waiting_time,neg,long_line,4.0,4
waiting_time,neg,walk_away,2.0,2
waiting_time,neg,worth_line,1.0,1
waiting_time,neg,not_come,1.0,1
waiting_time,neg,just_didn,1.0,1
waiting_time,pos,fast_service,2.0,2
waiting_time,pos,love_dulce,1.0,1
waiting_time,pos,past_week,1.0,1
waiting_time,pos,save_headache,1.0,1
waiting_time,pos,efficient_service,1.0,1
