aspect,sentiment,phrase,tfidf_sum,freq
environment,pos,popular_spot,2.0,2
taste,pos,good_coffee,3.6549608762445533,4
taste,pos,cafe_dulce,3.540769420178702,7
taste,pos,green_tea,2.315100881011219,3
taste,pos,amazing_salad,2.0,2
taste,pos,spicy_chicken,1.7556627889402567,2
taste,pos,delicious_pastry,1.0963307479255668,2
price,pos,highly_recommend,3.0,3
price,neg,not_worth,1.0,1
price,neg,not_personally_recommend,1.0,1
price,neg,different_price,1.0,1
price,neg,receive_money,0.7071067811865476,1
price,neg,premium_ceremonial_grade,0.7071067811865476,1
price,neg,high_quality,0.7071067811865476,1
price,neg,double_charge,0.7071067811865476,1
price,neg,premium_quality,0.5,1
price,neg,pay_dollar,0.5,1
price,neg,extra_dollar,0.5,1
price,neg,extra_charge,0.5,1
taste,neg,sweet_chili,1.0,1
taste,neg,subtle_aroma,1.0,1
taste,neg,not_sweeten,1.0,1
taste,neg,not_delicious_pastry,1.0,1
taste,neg,not_warm_croissant,0.5773502691896257,1
taste,neg,not_hot_chocolate,0.5773502691896257,1
taste,neg,hot_chocolate,0.5773502691896257,1
taste,neg,order_ice,0.5,1
taste,neg,grab_spoon,0.5,1
taste,neg,big_spoon,0.5,1
taste,neg,asian_girl,0.5,1
waiting_time,neg,long_line,5.0,5
environment,neg,weird_funk,1.0,1
environment,neg,small_size,1.0,1
environment,neg,past_year,1.0,1
environment,neg,moderate_noise,1.0,1
environment,neg,dine_loud_level,1.0,1
environment,neg,acceptable_train,1.0,1
service,neg,not_complain,1.0,1
service,neg,rude_guy,1.0,1
service,neg,disappointing_sign,0.7071067811865476,1
service,neg,general_impression,0.7071067811865476,1
service,neg,not_care,0.7071067811865476,1
service,neg,rude_staff,0.7071067811865476,1
service,neg,walk_away,0.6666666666666666,2
service,neg,not_use,0.5773502691896257,1
service,neg,incredibly_rude,0.5773502691896257,1
service,neg,disrespectful_manager,0.5773502691896257,1
service,neg,unacceptable_behavior,0.5,1
service,neg,disrespectful_treatment,0.5,1
service,neg,disrespectful_action,0.5,1
service,neg,deeply_disappointing,0.5,1
service,neg,politely_remind,0.3333333333333333,1
service,neg,rudely_slam_cup,0.3333333333333333,1
service,neg,treat_poorly,0.3333333333333333,1
service,neg,treat_worst,0.3333333333333333,1
service,neg,bad_ecause,0.3333333333333333,1
service,pos,good_matcha,5.0,6
service,pos,friendly_staff,2.0,2
service,pos,bad_service,2.0,2
waiting_time,pos,fast_service,2.0,2
waiting_time,pos,short_line,1.0,1
waiting_time,pos,long_spot,1.0,1
waiting_time,pos,just_order,1.0,1
waiting_time,pos,efficient_service,1.0,1
waiting_time,pos,busy_breakfast,1.0,1
