keyword,cluster
attitude,0
authentic,0
broth,0
chinese,0
delicious,0
delicious dine,0
dine,0
don,0
eat,0
say,0
taste,0
taste dine,0
perfect,1
choices,2
eating,2
fresh,2
friendly,2
guofu,2
ingredients,2
soup,2
spicy,2
variety,2
want,2
weight,2
wide,2
yang,2
yang guofu,2
worth,3
wow,4
tasty,5
atmosphere,6
better,6
china,6
clean,6
dinner,6
environment,6
fantastic,6
foods,6
issue,6
malatang,6
ordered,6
price,6
rice,6
small,6
stomach,6
time,6
times,6
ve,6
ve times,6
ygf,6
