aspect,sentiment,phrase,tfidf_sum,freq,hybrid_score
environment,neg,hot_sauce,0.8300573566392896,12,2.875403029791138
environment,neg,high_level,0.2075143391598224,3,0.35942537872389224
environment,neg,small_parking,0.13834289277321493,2,0.1956463952178074
environment,neg,small_wait,0.13834289277321493,2,0.1956463952178074
environment,neg,so_popular_place,0.13834289277321493,2,0.1956463952178074
environment,pos,beautifully_present,0.44360697536713456,7,1.1736737366749939
environment,pos,amazing_place,0.1901172751573434,3,0.3292927799690711
environment,pos,free_parking,0.1901172751573434,3,0.3292927799690711
environment,pos,limited_parking,0.1901172751573434,3,0.3292927799690711
environment,pos,bright_ceviche,0.12674485010489558,2,0.17924428597928835
price,neg,not_sure,0.3849001794597505,2,0.5443310539518175
price,neg,pro_tip,0.3849001794597505,2,0.5443310539518175
price,pos,absolutely_worth,0.30304576336566325,3,0.5248906591678238
price,pos,affordable_michelin,0.30304576336566325,3,0.5248906591678238
price,pos,definitely_worth,0.30304576336566325,3,0.5248906591678238
price,pos,perfect_balance,0.30304576336566325,3,0.5248906591678238
price,pos,very_good_value,0.30304576336566325,3,0.5248906591678238
service,neg,not_disappoint,0.6793662204867574,6,1.6641005886756872
service,neg,bad_service,0.22645540682891913,2,0.32025630761017426
service,pos,highly_recommend,0.8113007797505686,21,3.7178472345836764
service,pos,great_service,0.23180022278587673,6,0.5677922680888605
service,pos,fast_service,0.19316685232156394,5,0.43193421279068006
service,pos,wait_time,0.11590011139293836,3,0.20074488153546172
service,pos,amazing_service,0.07726674092862558,2,0.10927167294163062
taste,neg,affordable_price,0.42640143271122083,4,0.8528028654224417
taste,neg,raw_scallop,0.21320071635561041,2,0.30151134457776363
taste,pos,kanpachi_taco,0.31419211180334744,20,1.405109839972998
taste,pos,fresh_seafood,0.29848250621318007,19,1.3010550809980033
taste,pos,amazing_food,0.2670632950328453,17,1.1011301741459136
taste,pos,good_seafood,0.20422487267217584,13,0.7363432501446344
taste,pos,great_food,0.20422487267217584,13,0.7363432501446344
waiting_time,neg,long_line,0.7936757901325451,20,3.5494260376644555
waiting_time,neg,long_wait,0.4365216845728998,11,1.4477786405821798
waiting_time,neg,blow_away,0.158735158026509,4,0.317470316053018
waiting_time,neg,avoid_line,0.11905136851988177,3,0.20620301898704121
waiting_time,neg,high_end,0.11905136851988177,3,0.20620301898704121
waiting_time,pos,spend_hour,0.42640143271122083,2,0.6030226891555273
