aspect,sentiment,phrase,tfidf_sum,freq
environment,neg,high_level,0.4120816918460671,3
environment,neg,limited_parking,0.4120816918460671,3
environment,pos,beautifully_present,0.4708709557974187,7
environment,pos,amazing_place,0.20180183819889375,3
environment,pos,absolute_gem,0.1345345587992625,2
environment,pos,absolute_standout,0.1345345587992625,2
environment,pos,catch_eye,0.1345345587992625,2
price,neg,not_sure,0.4082482904638631,2
price,neg,pro_tip,0.4082482904638631,2
price,pos,affordable_price,0.30678599553894814,4
price,pos,worth_wait,0.30678599553894814,4
price,pos,absolutely_worth,0.2300894966542111,3
price,pos,affordable_michelin,0.2300894966542111,3
price,pos,definitely_worth,0.2300894966542111,3
service,neg,bad_service,0.32025630761017426,2
service,pos,highly_recommend,0.7683498199278324,21
service,pos,great_service,0.2195285199793807,6
service,pos,not_disappoint,0.2195285199793807,6
service,pos,blow_away,0.14635234665292046,4
service,pos,amazing_service,0.07317617332646023,2
taste,neg,raw_scallop,0.2519763153394848,2
taste,pos,seafood,0.932441881567687,148
taste,pos,amazing_food,0.1071048107206127,17
taste,pos,kanpachi_taco,0.10080452773704725,16
taste,pos,great_food,0.08190367878635088,13
taste,pos,octopus_taco,0.08190367878635088,13
waiting_time,neg,long_line,0.8297398136450223,20
waiting_time,neg,long_wait,0.37338291614026003,9
waiting_time,neg,avoid_line,0.12446097204675334,3
waiting_time,neg,wait_minute,0.12446097204675334,3
waiting_time,neg,wait_time,0.12446097204675334,3
waiting_time,pos,fast_service,0.6681531047810609,5
waiting_time,pos,small_wait,0.2672612419124244,2
