aspect,sentiment,phrase,tfidf_sum,freq,hybrid_score
environment,neg,high_level,0.39735970711951313,3,0.6882472016116853
environment,neg,small_parking,0.26490647141300877,2,0.37463432463267765
environment,neg,so_popular_place,0.26490647141300877,2,0.37463432463267765
environment,neg,tiny_bone,0.26490647141300877,2,0.37463432463267765
environment,pos,beautifully_present,0.4490502093697089,7,1.1880751801737364
environment,pos,amazing_place,0.19245008972987526,3,0.3333333333333333
environment,pos,free_parking,0.19245008972987526,3,0.3333333333333333
environment,pos,limited_parking,0.19245008972987526,3,0.3333333333333333
environment,pos,catch_eye,0.12830005981991682,2,0.18144368465060579
price,neg,not_sure,0.3592106040535498,2,0.508000508000762
price,neg,pro_tip,0.3592106040535498,2,0.508000508000762
price,pos,affordable_price,0.30065841120113157,4,0.6013168224022631
price,pos,worth_wait,0.30065841120113157,4,0.6013168224022631
price,pos,absolutely_worth,0.22549380840084865,3,0.3905667329424716
price,pos,affordable_michelin,0.22549380840084865,3,0.3905667329424716
price,pos,definitely_worth,0.22549380840084865,3,0.3905667329424716
service,neg,not_disappoint,0.6837634587578276,6,1.6748715787172472
service,neg,bad_service,0.2279211529192759,2,0.3223291856101521
service,pos,highly_recommend,0.8353351483845165,21,3.8279865481292155
service,pos,great_service,0.23866718525271902,6,0.5846128222154677
service,pos,amazing_service,0.079555728417573,2,0.11250879009260238
service,pos,amazing_staff,0.079555728417573,2,0.11250879009260238
service,pos,definitely_recommend,0.079555728417573,2,0.11250879009260238
taste,neg,raw_scallop,0.25,2,0.3535533905932738
taste,pos,kanpachi_taco,0.31019870714101266,20,1.3872507913997076
taste,pos,fresh_seafood,0.294688771783962,19,1.284518576002411
taste,pos,amazing_food,0.26366890106986074,17,1.0871347293015692
taste,pos,good_seafood,0.20162915964165823,13,0.7269842737167131
taste,pos,great_food,0.20162915964165823,13,0.7269842737167131
waiting_time,neg,long_line,0.7862811339707515,20,3.516356129968439
waiting_time,neg,long_wait,0.4324546236839133,11,1.4342897256138822
waiting_time,neg,blow_away,0.1572562267941503,4,0.3145124535883006
waiting_time,neg,avoid_line,0.11794217009561273,3,0.2042818309605319
waiting_time,neg,high_end,0.11794217009561273,3,0.2042818309605319
waiting_time,pos,fast_service,0.6565321642986127,5,1.4680505487867586
waiting_time,pos,small_wait,0.2626128657194451,2,0.3713906763541037
waiting_time,pos,spend_hour,0.2626128657194451,2,0.3713906763541037
